taxid,group_id,description,recommendation,penalty,type,disposition
971493,1,01.Failed to obey a lawful order/direction.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (8 day(s) )",allegation,
971493,1,02.Wrongfully deactivated their body-worn camera.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (8 day(s) )",allegation,
967932,1,01.Wrongful seizure of a person's property.,A-CD,A - COMMAND DISCIPLINE,allegation,
967932,2,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
935057,1,01.ENDANGERED THE WELFARE OF A PERSON LESS THAN SEVENTEEN.,CHARGES AND SPECIFICATIONS,RESTORATION OF SUSPENSION DAYS (30 day(s) ),allegation,
935057,1,01.ENGAGED IN SEXUAL CONDUCT WITH PERSON LESS THAN SEVENTEEN.,CHARGES AND SPECIFICATIONS,RESTORATION OF SUSPENSION DAYS (30 day(s) ),allegation,
950631,1,"WHILE OFF-DUTY, ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) )",charge,GUILTY
950631,1,"WHILE OFF-DUTY, DAMAGED A PERSON KNOWN TO THE DEPARTMENT's CELLULAR PHONE.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) )",charge,GUILTY
950631,1,"WHILE OFF-DUTY, FAILED AND NEGLECTED TO IDENTIFY HIMSELF AS A MEMBER OF THE SERVICE TO RESPONDING POLICE OFFICERS.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), PRE-TRIAL SUSPENSION DAYS (31 day(s) )",charge,GUILTY
950631,1,01.Off-duty employment without permission.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
966119,1,01.Failed to activate their body worn camera.,A-CD,A - COMMAND DISCIPLINE,allegation,
960728,1,01.Wrongful entry of a premises.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
960728,1,02.Wrongful removal to a hospital.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
960728,1,03.Wrongful threat of force.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
960728,1,04.Wrongfully damaged property.,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (10 day(s) )",allegation,
941954,1,ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (5 day(s) )",charge,GUILTY
941954,1,WRONGFULLY ENTERED A PRECINCT CELL BLOCK TO INTERACT WITH A PERSON KNOWN TO THE DEPARTMENT IN POLICE CUSTODY FOR PERSONAL GAIN.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (5 day(s) )",charge,GUILTY
941954,1,"KNOWINGLY ASSOCIATED WITH A PERSON OR ORGANIZATION REASONABLY TO BE ENGAGED IN, LIKELY TO ENGAGE IN OR HAVE ENGAGED IN CRIMINAL ACTIVITIES.",,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (5 day(s) )",charge,GUILTY
941954,1,"WAS AWARE OF A PURPORTED ALLEGATION OF CORRUPTION OR SERIOUS MISCONDUCT INVOLVING MEMBERS OF THE SERVICE, TO WIT: SAID OFFICER WAS SERVED WITH AN ORDER OF PROTECTION. SAID POLICE OFFICER FAILED AND NEGLECTED TO NOTIFY HIS COMMANDING OFFICER AND/OR THE INTERNAL AFFAIRS BUREAU COMMAND CENTER AS REQUIRED.",,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), VACATION DAYS (5 day(s) )",charge,GUILTY
941954,2,Failed to notify the radio dispatcher about a vehicle pursuit and improper vehicle pursuit.,,VACATION DAYS (30 day(s) ),charge,PLEADED GUILTY
941954,2,Made an inaccurate statement during an official Department interview.,,VACATION DAYS (30 day(s) ),charge,PLEADED GUILTY
941954,1,01.Failed to provide a business card,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (6 day(s) )",allegation,
941954,1,02.Improper entry into a premise,CHARGES AND SPECIFICATIONS,"B - COMMAND DISCIPLINE, VACATION DAYS (6 day(s) )",allegation,
944678,1,WHILE ON DUTY WRONGFULLY FAILED AND NEGLECTED TO SAFEGUARD HIS SERVICE FIREARM IN THAT HE LOST SAID FIREARM WHILE CHASING A PERSON HE WAS TRYING TO ARREST.,,VACATION DAYS (10 day(s) ),charge,GUILTY
944678,1,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
929534,1,"while on-duty, did wrongfully transport an unauthorized person in a Department vehicle.",,VACATION DAYS (20 day(s) ),charge,GUILTY
929534,1,"while on-duty, conducted personal business while on duty.",,VACATION DAYS (20 day(s) ),charge,GUILTY
929534,1,"while on-duty, was absent from said assignment without permission or police necessity and failed to submit a Leave of Absence Report.",,VACATION DAYS (20 day(s) ),charge,GUILTY
966640,1,01.Failed to make required entries in Department Logs.,OTHER,,allegation,
956006,1,Involved in a physical altercation.,,VACATION DAYS (15 day(s) ),charge,GUILTY
944092,1,01.Wrongful search of a premises.,A-CD,,allegation,
936814,1,WRONGFULLY ADVISED THE MEDICAL DIVISION THAT HE COULD NOT REPORT FOR DUTY BECAUSE HE WAS QUARANTINED AT THE AIRPORT IN GRANADA KNOWING THIS STATEMENT WAS NOT TRUE.,,VACATION DAYS (10 day(s) ),charge,PLEADED GUILTY
936814,1,FAILED TO REPORT FOR HIS ASSIGNED TOUR OF DUTY WITHOUT PERMISSION.,,VACATION DAYS (10 day(s) ),charge,PLEADED GUILTY
936814,1,WRONGFULLY MADE FALSE STATEMENTS CLAIMING SAID OFFICER COULD NOT REPORT FOR DUTY BECAUSE HE WAS QUARANTINED AT AN AIRPORT IN GRANADA AND COULD NOT TRAVEL .,,VACATION DAYS (10 day(s) ),charge,PLEADED GUILTY
941258,1,Said Police Officer operated a motor vehicle while under the influence of an intoxicant.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (6 day(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
941258,1,Operated a motor vehicle while their ability was impaired.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (6 day(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
941258,1,Said Police Officer operated a motor vehicle recklessly.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (6 day(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
941258,1,Said Police Officer was unfit for duty.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (6 day(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
941258,1,Refused to submit to a breathalyzer test.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (30 day(s) ), RESTORATION OF SUSPENSION DAYS (6 day(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
936816,1,"while on-duty, did fail and neglect to immediately notify the Department of an off-duty incident involving a uniformed member of service.",,VACATION DAYS (10 day(s) ),charge,GUILTY
950636,1,01.Wrongful search of a premises.,TRAINING,TRAINING,allegation,
921443,1,"WHILE ON DUTY, DID FAIL AND NEGLECT TO PROPERLY SAFEGUARD A PRISONER KNOWN TO THE DEPARTMENT, RESULTING IN THE LOSS OF SAID PRISONER.",,VACATION DAYS (20 day(s) ),charge,GUILTY
921443,1,01.Violated patrol rules - refused to provide shield number,TRAINING,TRAINING,allegation,
935069,1,01.Wrongful removal to a hospital.,NO DISCIPLINARY ACTION,,allegation,
940304,1,"ABUSED HIS AUTHORITY AS A MEMBER OF THE NEW YORK CITY POLICE DEPARTMENT, IN THAT HE FRISKED A PERSON KNOWN TO THE DEPARTMENT WITHOUT SUFFICIENT LEGAL AUTHORITY.",,VACATION DAYS (3 day(s) ),charge,GUILTY
968519,1,Failed to take police action/render police services.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,PLEADED GUILTY
968519,1,Failed to remain alert while on post.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,PLEADED GUILTY
968519,1,Failed to make proper notifications.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (45 day(s) )",charge,PLEADED GUILTY
941964,1,WRONGFULLY ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
941964,1,WRONGFULLY INTERFERED WITH A MEMBER OF THE SERVICE EFFECTING AN ARREST.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
941964,1,FAILED TO IDENTIFY HIMSELF AS A MEMBER OF SERVICE.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
941964,1,FAILED TO PROPERLY SAFEGUARD HIS FIREARM.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
941964,1,REFUSED TO ANSWER DOOR OF RESIDENCE TO RESPONDING MEMBERS OF SERVICE.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
941964,1,ATTEMPTED TO PREVENT PERSON KNOWN TO THE DEPARTMENT FROM CALLING 911.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (32 day(s) ), VACATION DAYS (8 day(s) )",charge,GUILTY
967460,1,01.Said Police Officer failed to activate their body-worn camera.,B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
967460,1,02.Said Police Officer failed to notify the radio dispatcher of a vehicle pursuit.,B-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (3 day(s) )",allegation,
960733,1,01.Wrongfully discourteous to an individual known to the Department.,A-CD,,allegation,
967935,1,Failed to conduct investigation.,,VACATION DAYS (11 day(s) ),charge,PLEADED GUILTY
967935,1,Wrongfully deactivated body-worn camera.,,VACATION DAYS (11 day(s) ),charge,PLEADED GUILTY
940306,1,"WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE UNDER THE INFLUENCE OF AN INTOXICANT AND STRUCK ANOTHER VEHICLE.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (4 day(s) )",charge,GUILTY
940306,1,"WHILE OFF-DUTY, DID WRONGFULLY OPERATE A MOTOR VEHICLE WHILE HER ABILITY WAS IMPAIRED BY AN INTOXICANT AND STRUCK ANOTHER VEHICLE.",,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (4 day(s) )",charge,GUILTY
940306,1,WHILE OFF-DUTY WAS UNFIT FOR DUTY DUE TO OVERINDULGENCE OF AN INTOXICANT.,,"COUNSELING, DISMISSAL PROBATION (12 month(s) ), ORDERED BREATH TESTING, PRE-TRIAL SUSPENSION DAYS (31 day(s) ), VACATION DAYS (4 day(s) )",charge,GUILTY
940306,2,"WHILE ON SICK REPORT AND DURING HER ASSIGNED TOUR OF DUTY, WAS OUT OF RESIDENCE WITHOUT PERMISSION FROM THE DISTRICT SURGEON OR SICK DESK SUPERVISOR.",,VACATION DAYS (20 day(s) ),charge,GUILTY
940306,2,"WHILE ON SICK REPORT, INFORMED THE MEDICAL DIVISION THAT SHE WAS ONLY A FEW BLOCKS AWAY FROM HER HOME, WHEN THAT WAS NOT IN FACT TRUE.",,VACATION DAYS (20 day(s) ),charge,GUILTY
969137,1,01.Failed to follow proper firearm handling procedures resulting in discharge.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (13 day(s) )",allegation,
969137,1,02.Failed to utilize a firearm safety station.,C-CD,"C - COMMAND DISCIPLINE, VACATION DAYS (13 day(s) )",allegation,
950637,1,01.Wrongfully unholstered/displayed a firearm.,CHARGES AND SPECIFICATIONS,,allegation,
943376,1,DID EXAGGERATE HER LIMITATIONS IN OPERATING A MOTOR VEHICLE.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
943376,1,DID WRONGFULLY CAUSE FALSE ENTRIES TO BE MADE IN DEPARTMENT RECORDS.,,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,PLEADED GUILTY
944959,1,01.Failed to obtain medical treatment.,A-CD,,allegation,
941966,1,WRONGFULLY ENGAGED IN A PHYSICAL ALTERCATION WITH A PERSON KNOWN TO THE DEPARTMENT.,,"COUNSELING, PRE-TRIAL SUSPENSION DAYS (35 day(s) )",charge,GUILTY
941966,1,01.Wrongfully discourteous to an individual known to the Department.,CHARGES AND SPECIFICATIONS,,allegation,
941966,1,01.Wrongfully used offensive language.,CHARGES AND SPECIFICATIONS,,allegation,
949873,1,"while on-duty, failed to properly respond to and failed to conduct a proper investigation.",,VACATION DAYS (10 day(s) ),charge,GUILTY
949873,1,"while on-duty, failed and neglected to adequately maintain her Activity Log.",,VACATION DAYS (10 day(s) ),charge,GUILTY
949873,1,"while on-duty, failed to conduct a proper inquiry into tow trucks present at the scene of a motor vehicle accident, as to whether the tow trucks were authorized to be present.",,VACATION DAYS (10 day(s) ),charge,GUILTY
949873,1,"while on-duty, failed to prepare and complete a Police Accident Report.",,VACATION DAYS (10 day(s) ),charge,GUILTY
960090,1,Wrongfully used physical force.,,VACATION DAYS (5 day(s) ),charge,GUILTY
960090,1,01.Improper frisk of an individual,TRAINING,TRAINING,allegation,
960090,1,01.Improper use of a body worn camera,TRAINING,TRAINING,allegation,
960090,1,02.Improper search of an individual,TRAINING,TRAINING,allegation,
960090,2,01.Failed to activate their body worn camera.,OTHER,,allegation,
960090,2,02.Failed to prepare required reports.,OTHER,,allegation,
960090,3,01.Failed to make required entries in Department Logs (Activity Log).,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
960090,3,02.Improper vehicle pursuit.,CHARGES AND SPECIFICATIONS,"C - COMMAND DISCIPLINE, VACATION DAYS (5 day(s) )",allegation,
956776,1,01.Failed to obtain language interpretation services,INSTRUCTIONS,INSTRUCTIONS,allegation,
956776,1,01.Improper entry of apartment,INSTRUCTIONS,INSTRUCTIONS,allegation,
940919,1,01.Violated patrol rules.,A-CD,,allegation,
940919,1,02.Wrongfully stopped an individual known to the Department.,A-CD,,allegation,
943408,1,01.Failed to prepare required reports.,A-CD,,allegation,
914434,1,"WHILE OFF-DUTY, SAID DETECTIVE ENGAGED IN IMPROPER CONTACT WITH A PERSON KNOWN TO THE DEPARTMENT, A FORMER COMPLAINANT",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
914434,1,"KNOWINGLY ASSOCIATED WITH A PERSON REASONABLY BELIEVED TO BE ENGAGED IN, LIKELY TO ENGAGE IN, AND/OR TO HAVE ENGAGED IN CRIMINAL ACTIVITIES",,"DISMISSAL PROBATION (12 month(s) ), VACATION DAYS (30 day(s) )",charge,GUILTY
956777,1,01.Deployed a Taser outside Department guidelines.,NO DISCIPLINARY ACTION,,allegation,
964078,1,01.Violated patrol rules.,A-CD,,allegation,
964078,2,01.Failed to timely activate their body worn camera.,OTHER,,allegation,
964078,3,"01.Failed to timely activate their body worn camera.
Wrongfully deactivated their body-worn camera.",OTHER,,allegation,
